"","country","PDI","IDV","MAS","UAI","num_u","num_q","num_a","num_tp_c","num_tp_e","perc_a","perc_q","perc_tp_c","perc_tp_e","GNI","Internet","EPI","WVS"
"1","Argentina",49,46,56,86,561,2.14309977877026,1.91256244390002,3.26934946379532,1.51900643326794,0.245989304812834,0.267379679144385,0.229946524064171,0.0338680926916221,NA,51,59.02,0.38
"2","Australia",36,90,61,51,3297,1.91150924266051,2.32717265051683,2.92194397069396,2.08857417537429,0.326963906581741,0.311191992720655,0.314225053078556,0.0464058234758872,59570,79.5,NA,1.75
"3","Austria",11,55,79,70,667,1.63115625056059,2.27272271091625,2.63024736360414,2.32946197546352,0.274362818590705,0.269865067466267,0.278860569715142,0.047976011994003,48160,79.8,63.21,1.43
"4","Bangladesh",80,20,55,60,363,1.78289940868596,1.86993856506637,2.64223166901598,2.03555795706657,0.121212121212121,0.220385674931129,0.154269972451791,0.0247933884297521,840,5,NA,-0.93
"5","Belgium",65,75,54,94,1100,1.96227498821838,2.15491713825221,3.33920867450161,2.23409226243312,0.300909090909091,0.322727272727273,0.285454545454545,0.0481818181818182,44990,78,61.21,1.13
"6","Brazil",69,38,49,76,2017,1.72087718002069,1.90620937885246,2.70751191537563,2.72867727669973,0.19533961328706,0.218145761031235,0.197322756569162,0.0252850768468022,11630,45,49.96,0.81
"7","Bulgaria",70,30,40,85,335,1.81004432228118,1.95146347746502,2.72924517836524,1.10408951367381,0.247761194029851,0.247761194029851,0.214925373134328,0.0208955223880597,6870,51,NA,-1.01
"8","Canada",39,80,52,48,4657,1.97668768935285,2.52166138172962,3.33992382280472,2.6971906719516,0.311573974661799,0.319519003650419,0.312432896714623,0.0502469400901868,50970,83,NA,1.91
"9","Chile",63,23,28,86,214,2.12116584607389,2.06148218975948,2.99241650887562,2.75261062808373,0.252336448598131,0.257009345794392,0.233644859813084,0.0420560747663551,14280,52.3,48.75,0
"10","China",80,20,66,30,1359,1.75924262914426,1.59461209213537,2.32470037289897,1.91238071840934,0.178807947019868,0.231052244297277,0.164091243561442,0.0183958793230316,5680,38.3,50.15,-1.16
"11","Colombia",67,13,64,80,219,1.49439983181541,1.87618248074401,1.91058496676848,1.200936955176,0.136986301369863,0.223744292237443,0.19634703196347,0.0273972602739726,6990,40.4,48.54,0.6
"12","Costa Rica",35,15,21,86,51,1.56434951031902,2.78776944472427,3.08558920225253,1,0.156862745098039,0.254901960784314,0.254901960784314,0.0392156862745098,8740,42.1,48.53,NA
"13","Croatia",73,33,40,80,230,2.03672551999728,2.18446718169821,3.48851161945299,3.05995653414225,0.3,0.317391304347826,0.247826086956522,0.0391304347826087,13290,59.6,NA,0.31
"14","Czech Republic",57,58,57,74,698,1.92428132206369,2.11987862338977,2.95985205728306,3.25161077089543,0.257879656160458,0.282234957020057,0.256446991404011,0.0315186246418338,18130,73,57.42,0.38
"15","Denmark",18,74,16,23,932,1.89059276404865,2.13895991174451,2.83459137972837,2.31510127628687,0.275751072961373,0.320815450643777,0.3068669527897,0.0407725321888412,59770,90,69.3,1.87
"16","Ecuador",78,8,63,67,38,1.49130147541311,2.11474252688113,1.57843652999765,1,0.210526315789474,0.157894736842105,0.263157894736842,0.0263157894736842,5200,31.4,51.05,NA
"17","Egypt",70,25,45,80,333,1.94205434028543,1.71966678106792,2.61469089267973,1,0.159159159159159,0.222222222222222,0.165165165165165,0.00900900900900901,3000,95,42.13,-0.54
"18","El Salvador",66,19,40,94,23,1.25992104989487,1,1.64375182951723,NA,0.304347826086957,0.130434782608696,0.217391304347826,0,3580,18.9,43.46,0.53
"19","Estonia",40,60,30,60,174,1.79970013839742,2.05220270376418,4.28537412368504,4.97567120241002,0.350574712643678,0.28735632183908,0.258620689655172,0.0517241379310345,15830,76.5,61.39,-1.19
"20","Ethiopia",70,20,65,55,21,1.47273335753469,1,1.81712059283214,NA,0.19047619047619,0.476190476190476,0.142857142857143,0,410,1.1,NA,-0.36
"21","Finland",33,63,26,59,577,1.86241940284864,2.61066994496848,3.1664480132333,3.22432131095956,0.346620450606586,0.305025996533795,0.332755632582322,0.0554592720970537,46940,89.4,64.4,1.12
"22","France",68,71,43,86,2440,1.82336998053751,2.03414282424236,2.76121926669387,2.06672317150446,0.27827868852459,0.233196721311475,0.244262295081967,0.0418032786885246,41750,79.6,52.69,1.13
"23","Germany",35,67,66,65,4600,1.88471240284418,2.31556707667586,3.03675805981179,2.5466143275895,0.303260869565217,0.302608695652174,0.307173913043478,0.05,44010,83,60.89,0.44
"24","Ghana",80,15,40,65,21,1.200936955176,2,2.16573677066799,1,0.19047619047619,0.285714285714286,0.19047619047619,0.0476190476190476,1550,14.1,NA,-0.29
"25","Greece",60,35,57,112,463,1.8116958483143,2.24805133011268,2.74534937235857,1.79207812344834,0.252699784017279,0.291576673866091,0.259179265658747,0.0367170626349892,23260,53,NA,0.55
"26","Guatemala",95,6,37,101,38,1.43096908110526,1.53367468683856,1.69838132956495,NA,0.263157894736842,0.263157894736842,0.157894736842105,0,3140,12.3,45.77,-0.17
"27","Hong Kong",68,25,57,29,232,2.14860869714815,2.81044243681322,3.44684053007982,1.69856581823783,0.275862068965517,0.344827586206897,0.306034482758621,0.0603448275862069,36560,72.2,52.5,-0.98
"28","Hungary",46,80,88,82,447,1.88930335788086,1.96216574336593,3.0220183869168,2.1351847961967,0.315436241610738,0.333333333333333,0.317673378076063,0.0357941834451902,12370,70,58.55,-1.22
"29","India",77,48,56,40,8921,1.74353414130111,1.90739217344236,2.58404214470737,2.26101421725748,0.18305122744087,0.283040017935209,0.199192915592422,0.0279116690953929,1530,10.1,53.54,-0.21
"30","Indonesia",78,14,46,48,374,1.67107038449038,1.82654371428118,2.11830487592147,1.81712059283214,0.213903743315508,0.280748663101604,0.235294117647059,0.0160427807486631,3420,12.3,52.74,-0.8
"31","Iran",58,41,43,59,692,1.99687499754278,1.83655719568253,2.8097652177127,2.45335363183623,0.203757225433526,0.332369942196532,0.241329479768786,0.0317919075144509,NA,100,41.83,NA
"32","Iraq",95,30,70,85,15,1.5130857494229,1.7099759466767,1,NA,0.2,0.4,0.133333333333333,0,5870,5,38.02,-1.68
"33","Ireland",28,70,68,35,659,1.86334154487794,2.10223583032961,2.67756391759472,1.83553929188546,0.298937784522003,0.303490136570561,0.29742033383915,0.0333839150227618,38970,76.8,NA,1.18
"34","Israel",13,54,47,81,852,2.28860738513936,2.23875298132793,3.36672880544315,2.31619225218308,0.267605633802817,0.373239436619718,0.343896713615023,0.034037558685446,28380,68.9,NA,0.36
"35","Italy",50,76,70,75,1416,2.01524657283377,2.24207854734055,2.85492055299839,2.21092065887975,0.252118644067797,0.307203389830508,0.283898305084746,0.0444915254237288,33840,56.8,52.8,0.6
"36","Jamaica",45,39,68,13,13,3.48727806853925,3.36197540679896,3.096787682151,NA,0.230769230769231,0.538461538461538,0.461538461538462,0,5140,37.5,NA,NA
"37","Japan",54,46,95,92,483,1.64467932488046,2.12924361604832,2.78705219354526,1.16652903957612,0.209109730848861,0.231884057971014,0.221532091097308,0.0186335403726708,47870,79.1,52.88,-0.05
"38","Kuwait",90,25,40,80,23,2.2179074418284,2.34073113979376,4.31205951713384,2.44948974278318,0.304347826086957,0.304347826086957,0.304347826086957,0.0869565217391304,44100,74.2,41.8,NA
"39","Latvia",44,70,40,63,176,1.95205523447195,1.92570846026721,3.04030530682942,1.31607401295249,0.232954545454545,0.335227272727273,0.284090909090909,0.0227272727272727,14200,71.7,59.43,-1.27
"40","Lebanon",75,40,65,50,70,1.49603553546666,1.57888659240568,1.96886619473674,1,0.171428571428571,0.328571428571429,0.314285714285714,0.0142857142857143,9190,52,NA,NA
"41","Lithuania",42,60,40,63,207,2.12685186997526,2.54319393612825,3.39433912344158,4.86325050653529,0.222222222222222,0.260869565217391,0.222222222222222,0.0289855072463768,13920,65.1,NA,-1
"42","Luxembourg",40,60,50,70,44,2.65719714561267,1.76531351403795,6.19573157471714,1,0.409090909090909,0.136363636363636,0.204545454545455,0.0454545454545455,76960,90.9,NA,1.13
"43","Malaysia",104,26,50,36,271,1.70981712697952,1.88387871958225,2.78531420178958,2.82842712474619,0.202952029520295,0.273062730627306,0.232472324723247,0.00738007380073801,9800,61,59.73,0.09
"44","Malta",56,59,47,96,49,2.04537683619036,3.34115646078845,4.00241673743346,1.41421356237309,0.244897959183673,0.428571428571429,0.326530612244898,0.122448979591837,19760,69.2,NA,-0.03
"45","Mexico",81,30,69,82,495,1.67597534173448,1.80900960215176,2.39067365041143,1.88043103063485,0.236363636363636,0.250505050505051,0.214141414141414,0.0282828282828283,9600,35,49.83,1.03
"46","Morocco",70,25,53,68,75,1.23841620097549,1.49843723387077,2.30420263108709,1,0.173333333333333,0.266666666666667,0.16,0.0133333333333333,2950,53,42.43,-1.04
"47","Netherlands",38,80,14,53,2220,1.79767726272933,2.2465993382067,3.21429659667957,3.09237561009006,0.276126126126126,0.281081081081081,0.278378378378378,0.0495495495495495,48250,92.3,68.99,1.39
"48","New Zealand",22,79,58,49,743,2.13504258039882,2.40322210489707,3.42226330930434,2.59126945722224,0.343203230148048,0.345895020188425,0.351278600269179,0.0484522207267833,30620,86,NA,1.86
